BillNo;Itemname;Quantity;Date;Price;CustomerID
200041;Gift Box;3;02.12.2010 13:20;4,50;18041
200042;Wooden Coaster;10;02.12.2010 13:25;1,99;18042
200042;Wooden Ornament;4;02.12.2010 13:25;3,99;18042
200043;Paper Cup;60;02.12.2010 13:30;0,79;18043
200043;Plastic Fork;30;02.12.2010 13:30;0,25;18043
200043;Plastic Plate;15;02.12.2010 13:30;1,99;18043
200044;Ceramic Mug;5;02.12.2010 13:35;3,75;18044
200044;Heart Mug;5;02.12.2010 13:35;3,95;18044
200045;Paper Napkin;100;02.12.2010 13:40;0,15;18045
200045;Plastic Spoon;50;02.12.2010 13:40;0,20;18045
200046;Paper Cup;50;02.12.2010 13:45;0,79;18046
200046;Plastic Fork;25;02.12.2010 13:45;0,25;18046
200047;Scented Candle;8;02.12.2010 13:50;3,99;18047
200047;Ceramic Vase;2;02.12.2010 13:50;8,99;18047
200048;Bamboo Chopsticks;20;02.12.2010 13:55;0,99;18048
200048;Rice Bowl;5;02.12.2010 13:55;2,99;18048
200049;Ceramic Mug;4;02.12.2010 14:00;3,75;18049
200049;Heart Mug;4;02.12.2010 14:00;3,95;18049
200050;Paper Cup;45;02.12.2010 14:05;0,79;18050
200050;Plastic Fork;20;02.12.2010 14:05;0,25;18050
200050;Plastic Plate;10;02.12.2010 14:05;1,99;18050
200051;Tea Infuser;3;02.12.2010 14:10;2,50;18051
200051;Ceramic Teacup;6;02.12.2010 14:10;2,99;18051
200052;Paper Cup;50;02.12.2010 14:15;0,79;18052
200052;Plastic Fork;25;02.12.2010 14:15;0,25;18052
200053;Fruit Bowl;2;02.12.2010 14:20;7,50;18053
200053;Salad Servers;1;02.12.2010 14:20;4,99;18053
200054;Wine Glass;12;02.12.2010 14:25;3,99;18054
200054;Bottle Opener;1;02.12.2010 14:25;2,50;18054
200055;Paper Cup;60;02.12.2010 14:30;0,79;18055
200055;Plastic Fork;30;02.12.2010 14:30;0,25;18055
200055;Plastic Plate;15;02.12.2010 14:30;1,99;18055
200056;Ceramic Mug;5;02.12.2010 14:35;3,75;18056
200056;Heart Mug;5;02.12.2010 14:35;3,95;18056
200057;Cheese Board;1;02.12.2010 14:40;12,99;18057
200057;Cheese Knife Set;1;02.12.2010 14:40;9,99;18057
200058;Paper Cup;50;02.12.2010 14:45;0,79;18058
200058;Plastic Fork;25;02.12.2010 14:45;0,25;18058
200059;Wooden Tray;6;02.12.2010 14:50;5,99;18059
200059;Glass Vase;4;02.12.2010 14:50;4,99;18059
200060;Ceramic Mug;6;02.12.2010 14:55;3,75;18060
200060;Heart Mug;6;02.12.2010 14:55;3,95;18060
200061;Paper Cup;40;02.12.2010 15:00;0,79;18061
200061;Plastic Fork;20;02.12.2010 15:00;0,25;18061
200061;Plastic Plate;10;02.12.2010 15:00;1,99;18061
200062;Cotton Cushion;3;02.12.2010 15:05;5,75;18062
200062;Metal Tray;4;02.12.2010 15:05;6,50;18062
200063;Paper Cup;50;02.12.2010 15:10;0,79;18063
200063;Plastic Fork;25;02.12.2010 15:10;0,25;18063
200064;Ceramic Mug;5;02.12.2010 15:15;3,75;18064
200064;Heart Mug;5;02.12.2010 15:15;3,95;18064
200065;Paper Napkin;90;02.12.2010 15:20;0,15;18065
200065;Plastic Spoon;45;02.12.2010 15:20;0,20;18065
